id;date;mode;from_alamat;from_kelurahan;from_kecamatan;from_latlng;to_alamat;to_kelurahan;to_kecamatan;to_latlng;distance;amount_delivery;amount_merchant;transaction_amount_total;customer_id;customer_gender;customer_birthdate;driver_id;driver_gender;driver_birthdate;kendaraan_jenis;kendaraan_merk;merchant_id;merchant_name;merchant_category
1972;2019/01/03 15:50 s/d 2019/01/03 13:14;CAR;Jl. Moh. Yusuf Karim No.44,  Banjar Serasan;DALAM BUGIS;PONTIANAK TIMUR;-0,042361251,109,3619573;Gg. Arya No.Kelurahan,  Saigon;SIANTAN HILIR;PONTIANAK UTARA;-0,037617193,109,3593194;2.6;3600;0;3600;39;P;1992-02-27T00:00:00;107;P;1992-01-09T00:00:00;MOBIL;Volvo;;;
1947;2019/01/03 13:14 s/d 2019/01/02 17:19;CAR;Jl. Kebangkitan Nasional,  Siantan Hulu;BATU LAYANG;PONTIANAK UTARA;0.01556531242724,109,3488951;Jalan Parit Gandu Dalam,  Mega Tim.;SAIGON;PONTIANAK TIMUR;-0,012846884,109,3947805;8;15600;0;15600;45;P;1984-01-08T00:00:00;96;L;1995-05-26T00:00:00;MOBIL;KIA;;;
1211;2019/01/02 17:19 s/d 2019/01/01 19:41;FOOD;Kedai Intomie, Jl. Terminal Hijas, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,0361628,109,3433163;Gg. Sekolah No.155,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,039528514,109,3176263;4.88;6000;32500;38500;47;P;2003-10-28T00:00:00;78;L;1999-11-13T00:00:00;MOTOR;Yamaha;88;Kedai Intomie;WARUNG MAKAN
1190;2019/01/01 19:41 s/d 2019/01/01 17:19;FOOD;What's Up Cafe, Jl. Zainuddin No.18, Tengah, Pontianak Kota, Kota Pontianak, Kalimantan Barat;DARAT SEKIP;PONTIANAK KOTA;-6,3653643,106,8337117;Jl. Paralel Tol No.29,  Tj. Hilir;SAIGON;PONTIANAK TIMUR;-0,027657601,109,3602536;760.4;1000;75000;76000;17;L;1999-11-26T00:00:00;75;L;1985-12-28T00:00:00;MOTOR;TVS;335;What's Up Cafe;CAFE
1982;2019/01/01 17:19 s/d 2019/01/01 15:25;CAR;Gg. Bansir III No.49,  Bansir Laut;SAIGON;PONTIANAK TIMUR;-0,043811202,109,3561894;Durian,  Sungai Ambawang;PARIT MAYOR;PONTIANAK TIMUR;-0,037043365,109,3769622;4.43;7200;0;7200;27;P;1974-04-18T00:00:00;107;P;1992-01-09T00:00:00;MOBIL;Volvo;;;
1750;2019/01/01 15:25 s/d 2019/01/01 15:11;BIKE;Jl. Siam No.153,  Benua Melayu Darat;SUNGAI BANGKONG;PONTIANAK KOTA;-0,030821214,109,3404365;Gg. Orde Baru,  Tj. Hulu;TANJUNG HILIR;PONTIANAK TIMUR;-0,020960864,109,3673398;5.19;2500;0;2500;27;P;1974-04-18T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;;;
1887;2019/01/01 15:11 s/d 2019/01/01 14:54;BIKE;Jl. Dharma Putra No.21,  Siantan Hilir;BATU LAYANG;PONTIANAK UTARA;0.0014963206424235,109,3428068;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,060454104,109,2659258;12.98;6500;0;6500;48;L;2005-10-29T00:00:00;101;P;1986-02-04T00:00:00;MOTOR;Honda;;;
1899;2019/01/01 14:54 s/d 2019/01/01 12:46;CAR;04,  Jl. Gajah Mada No.96a;TAMBELAN SAMPIT;PONTIANAK TIMUR;-0,031834046,109,3403512;Komplek Didis Permai No.43,  Sungai Beliung;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,016709669,109,2996747;6.83;12000;0;12000;66;L;2002-12-28T00:00:00;98;L;1981-08-19T00:00:00;MOBIL;Audi;;;
1382;2019/01/01 12:46 s/d 2019/01/01 12:16;SHOP;Indomaret Kota Baru, Jl Prof M Yamin No 3;KOTA BARU;PONTIANAK SELATAN;-0,0514045,109,3137929;Jl. Karel Satsuit Tubun No.34,  Akcaya;SUNGAI JAWI;PONTIANAK KOTA;-0,039499795,109,3322622;4.44;5000;54000;59000;57;P;1982-11-11T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;423;Indomaret Kota Baru;TOKO/SWALAYAN
1391;2019/01/01 12:16 s/d 2019/01/01 09:40;SHOP;Alfamart Imam Bonjol, Jl Imam Bonjol;BANSIR LAUT;PONTIANAK TENGGARA;-0,0399714,109,3450443;Gg. Kesehatan No.02,  Akcaya;SUNGAI BANGKONG;PONTIANAK KOTA;-0,055385414,109,3169166;5.57;7000;59000;66000;17;L;1999-11-26T00:00:00;94;L;1981-09-21T00:00:00;MOTOR;BMW;424;Alfamart Imam Bonjol;TOKO/SWALAYAN
1770;2019/01/01 09:40 s/d 2018/12/31 07:53;BIKE;Gg. Assuha,  Saigon;BANJAR SERASAN;PONTIANAK TIMUR;-0,043824653,109,3682952;Gg. Keluarga 2,  Batu Layang;SIANTAN TENGAH;PONTIANAK UTARA;0.014940157562294,109,3183632;10.57;5500;0;5500;23;P;1994-10-31T00:00:00;90;L;1997-03-24T00:00:00;MOTOR;Yamaha;;;
1809;2018/12/31 07:53 s/d 2018/12/31 06:18;BIKE;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,059744402,109,2691634;Jl. Ampera No.B-8,  Kota Baru;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,058585836,109,3070595;6.22;3000;0;3000;23;P;1994-10-31T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;;;
1444;2018/12/31 06:18 s/d 2018/12/30 20:52;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708,109,336138;Jl. Purnama II,  Punggur Kecil;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,081093413,109,3126682;9.93;13000;95500;108500;68;L;2000-01-07T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
1110;2018/12/30 20:52 s/d 2018/12/30 14:10;FOOD;Kings' Kitchen and Bar , Jalan Teuku Umar, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78113, Indonesia;SUNGAI JAWI;PONTIANAK KOTA;-0,0335662,109,3326535;Komp. Tebu Mandala,  Jl. Tebu;PAL LIMA;PONTIANAK BARAT;-0,016945189,109,3086458;5.25;6000;31000;37000;22;P;2001-10-10T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;47;Kings' Kitchen and Bar ;RESTAURANT
1998;2018/12/30 14:10 s/d 2018/12/30 10:45;CAR;Jl. Purnama II No.87,  Parit Tokaya;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,068647447,109,3176673;Unnamed Road,  Siantan Hulu;SIANTAN HULU;PONTIANAK UTARA;-0,003573249,109,3724848;11.46;22800;0;22800;37;P;1985-01-08T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1704;2018/12/30 10:45 s/d 2018/12/30 09:49;BIKE;Gang Bahagia Dalam,  Saigon;SIANTAN HILIR;PONTIANAK UTARA;-0,037323443,109,3672399;Jl. Parit Lengkong,  Mega Tim.;BANJAR SERASAN;PONTIANAK TIMUR;-0,001845259,109,4096684;8.15;4000;0;4000;40;P;1997-03-22T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;;;
1746;2018/12/30 09:49 s/d 2018/12/30 07:31;BIKE;Jl. Jalur B No.36,  Kota Baru;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,058682913,109,3149101;Unnamed Road,  Sungai Raya;TANJUNG HILIR;PONTIANAK TIMUR;-0,083672291,109,3667588;8.4;4000;0;4000;63;P;1994-05-03T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;;;
1956;2018/12/30 07:31 s/d 2018/12/29 22:48;CAR;Jl. Prof. M.Yamin No.21,  Kota Baru;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,059422786,109,3075877;Gg. Sukabangun No.79B,  Sungai Bangkong;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,02916148,109,3163287;5.5;9600;0;9600;54;P;1997-01-26T00:00:00;109;P;1988-05-02T00:00:00;MOBIL;Honda;;;
1988;2018/12/29 22:48 s/d 2018/12/29 19:32;CAR;Jalan Yam Sabran Komplek Villa Elektrik Permai Blok D1 No 41,  Tj. Hulu;PARIT MAYOR;PONTIANAK TIMUR;-0,031326241,109,376843;no 416 km 4.2, ;SUNGAI JAWI DALAM;PONTIANAK BARAT;0.0011855126689716,109,3140107;9.87;19200;0;19200;34;L;2005-07-07T00:00:00;107;P;1992-01-09T00:00:00;MOBIL;Volvo;;;
1871;2018/12/29 19:32 s/d 2018/12/28 22:44;BIKE;Jl. Urai Bawadi No.82,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,037061429,109,3190136;Ps. Flamboyan,  Jl. Gajah Mada;TENGAH;PONTIANAK KOTA;-0,041164618,109,3456324;4.99;2000;0;2000;26;P;1999-05-30T00:00:00;91;L;1995-12-24T00:00:00;MOTOR;Honda;;;
1719;2018/12/28 22:44 s/d 2018/12/28 15:56;BIKE;Gg. Kurnia 1 No.20,  Sungai Beliung;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,01288499,109,304226;Gang Harapan Jaya 1 No.48,  Kota Baru;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,062929138,109,3121106;7.63;3500;0;3500;48;L;2005-10-29T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;;;
1115;2018/12/28 15:56 s/d 2018/12/28 10:45;FOOD;Kedai Intomie, Jl. Terminal Hijas, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,0361628,109,3433163;Jl. Hijas No.2,  Benua Melayu Darat;DALAM BUGIS;PONTIANAK TIMUR;-0,036476374,109,344845;2.17;2000;75500;77500;43;L;2003-06-11T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;88;Kedai Intomie;WARUNG MAKAN
1143;2018/12/28 10:45 s/d 2018/12/27 21:31;FOOD;Kuliner BPAS, Gg. Selat Makassar, Siantan Tengah, Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SIANTAN HULU;PONTIANAK UTARA;-0,0162485,109,344718;Jl. Purnama II,  Kota Baru;KOTA BARU;PONTIANAK SELATAN;-0,070852292,109,316733;8.82;12000;27000;39000;57;P;1982-11-11T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;62;Kuliner BPAS;JAJANAN
2125;2018/12/27 21:31 s/d 2018/12/27 21:23;CAR;Unnamed Road,  Pal IX;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,057977066,109,2862323;Gg. Karya Tani 1,  Siantan Hilir;DARAT SEKIP;PONTIANAK KOTA;0.01828008100132,109,3307219;11.82;22800;0;22800;62;P;1977-12-04T00:00:00;107;P;1992-01-09T00:00:00;MOBIL;Volvo;;;
1507;2018/12/27 21:23 s/d 2018/12/27 21:13;SHOP;Indomaret teuku umar, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0326539,109,3314114;Gg. Karya 2 No.1a,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,046751394,109,3190486;4.08;5000;43500;48500;43;L;2003-06-11T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;420;Indomaret teuku umar;TOKO/SWALAYAN
1327;2018/12/27 21:13 s/d 2018/12/27 20:31;FOOD;warong pak ngah, Jl. Komyos Sudarso No.27, Sungai Jawi Luar, Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia;SUNGAI JAWI LUAR;PONTIANAK BARAT;-0,0113042,109,3235641;Gg. Nasional,  Mega Tim.;BATU LAYANG;PONTIANAK UTARA;-0,017948992,109,3809033;8.42;11000;54000;65000;74;P;2001-11-28T00:00:00;103;P;1994-11-21T00:00:00;MOTOR;BMW;391;warong pak ngah;WARUNG MAKAN
1345;2018/12/27 20:31 s/d 2018/12/27 20:27;FOOD;Banana Queen, Jalan Putri Daranante Gg.Nurcahaya No.41B;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0263303,109,3425039;Jl. Tabrani Ahmad,  Pal Lima;SUNGAI JAWI;PONTIANAK KOTA;-0,031646835,109,2888348;8;11000;93000;104000;33;L;2000-07-11T00:00:00;102;P;1993-04-23T00:00:00;MOTOR;Kawasaki;339;Banana Queen;JAJANAN
2118;2018/12/27 20:27 s/d 2018/12/27 20:15;CAR;Jl. KH Wachid Hasyim No.b24,  Durian;TANJUNG HULU;PONTIANAK TIMUR;-0,036219708,109,37313;Gang Edelweis,  Pal IX;PARIT TOKAYA;PONTIANAK SELATAN;-0,069517327,109,3068029;10.25;20400;0;20400;52;P;1988-01-21T00:00:00;98;L;1981-08-19T00:00:00;MOBIL;Audi;;;
1304;2018/12/27 20:15 s/d 2018/12/27 19:45;FOOD;Hamock Cafe, Jl. Diponegoro, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,0282718,109,3407416;Gg. Nasional,  Mega Tim.;SAIGON;PONTIANAK TIMUR;-0,023654037,109,3795711;6.35;8000;48500;56500;63;P;1994-05-03T00:00:00;87;L;1983-05-25T00:00:00;MOTOR;Honda;95;Hamock Cafe;CAFE
2096;2018/12/27 19:45 s/d 2018/12/27 19:33;CAR;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,065146032,109,272663;Jl. Parit Pangeran No.19,  Siantan Hulu;BATU LAYANG;PONTIANAK UTARA;-0,011169588,109,3549124;12.94;25200;0;25200;70;P;1985-12-24T00:00:00;95;L;1994-09-12T00:00:00;MOBIL;Honda;;;
1495;2018/12/27 19:33 s/d 2018/12/27 19:17;SHOP;Alfamart Tabrani Ahmad, Jl Tabrani Ahmad;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,0209993,109,2978401;Gg. Ba Alawi No.10,  Dalam Bugis;SAIGON;PONTIANAK TIMUR;-0,028988673,109,3594127;8.9;12000;56500;68500;62;P;1977-12-04T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;422;Alfamart Tabrani Ahmad;TOKO/SWALAYAN
1550;2018/12/27 19:17 s/d 2018/12/27 19:14;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708,109,336138;Jl. Karvin No.3,  Benua Melayu Darat;SAIGON;PONTIANAK TIMUR;-0,04577076,109,344878;5.7;7000;87000;94000;74;P;2001-11-28T00:00:00;78;L;1999-11-13T00:00:00;MOTOR;Yamaha;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
2100;2018/12/27 19:14 s/d 2018/12/27 18:56;CAR;JL. Uray Bawadi Gang. Sidomampir,  Sungai Bangkong;TENGAH;PONTIANAK KOTA;-0,037509784,109,3205534;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,060207496,109,2664523;8.52;16800;0;16800;45;P;1984-01-08T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1877;2018/12/27 18:56 s/d 2018/12/27 18:56;BIKE;Jalan Bukit Batu,  Pal Lima;BANSIR DARAT;PONTIANAK TENGGARA;-0,036129656,109,2819004;Gg. Rambai I No.66,  Sungai Jawi Luar;PAL LIMA;PONTIANAK BARAT;-0,011276633,109,3175966;6.84;3000;0;3000;25;P;1987-01-16T00:00:00;100;P;1993-08-11T00:00:00;MOTOR;Yamaha;;;
1244;2018/12/27 18:56 s/d 2018/12/27 18:54;FOOD;Rumah Soto, Jl. Gusti Johan Idrus No.12, Akcaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113, Indonesia;AKCAYA;PONTIANAK SELATAN;-0,044682,109,332011;Gang Dharma Putra 6 No.12,  Siantan Hilir;SUNGAI BANGKONG;PONTIANAK KOTA;-0,009178395,109,342319;6.11;8000;33500;41500;74;P;2001-11-28T00:00:00;79;L;1987-08-18T00:00:00;MOTOR;BMW;23;Rumah Soto;WARUNG MAKAN
1732;2018/12/27 18:54 s/d 2018/12/27 18:38;BIKE;Gg. Bersama 2 No.55,  Sungai Jawi Dalam;SUNGAI BELIUNG;PONTIANAK BARAT;-0,018021163,109,310419;Jl. Putri Candramidi,  Gg. II No. 70A;SIANTAN TENGAH;PONTIANAK UTARA;-0,036610972,109,3276169;4.82;2000;0;2000;29;L;1987-04-26T00:00:00;87;L;1983-05-25T00:00:00;MOTOR;Honda;;;
1318;2018/12/27 18:38 s/d 2018/12/27 18:16;FOOD;A&W, Ayani Megamall, Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113, Indonesia;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,051155,109,346396;Gg. Duku Baru 1 No.6a,  Sungai Jawi Luar;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,005848477,109,3115936;8.35;11000;45500;56500;22;P;2001-10-10T00:00:00;81;L;1991-09-08T00:00:00;MOTOR;BMW;97;A&W, Ayani Megamall;RESTAURANT
1558;2018/12/27 18:16 s/d 2018/12/27 18:10;SHOP;Indomaret Kota Baru, Jl Prof M Yamin No 3;KOTA BARU;PONTIANAK SELATAN;-0,0514045,109,3137929;Jl. Apel No.73,  Sungai Jawi Luar;PAL LIMA;PONTIANAK BARAT;-0,011676207,109,3176702;6.44;8000;42500;50500;60;P;1999-11-09T00:00:00;78;L;1999-11-13T00:00:00;MOTOR;Yamaha;423;Indomaret Kota Baru;TOKO/SWALAYAN
1343;2018/12/27 18:10 s/d 2018/12/27 17:36;FOOD;Neo Shabu-Shabu Steak & Shake, Johar, Jl. Johar No.90e, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,02861,109,329253;Gg. Dharma Putra 17A,  Siantan Hilir;BATU LAYANG;PONTIANAK UTARA;-0,003784048,109,3459002;5.32;6000;40000;46000;20;P;1993-03-17T00:00:00;104;P;1979-10-19T00:00:00;MOTOR;BMW;93;Neo Shabu-Shabu Steak & Shake, Johar;RESTAURANT
2090;2018/12/27 17:36 s/d 2018/12/27 17:23;CAR;Gang Sudiharjo 4 No.14,  Sungai Jawi;DARAT SEKIP;PONTIANAK KOTA;-0,030320458,109,3140811;Jl. Putri Candramidi No.41,  Sungai Bangkong;SUNGAI JAWI;PONTIANAK KOTA;-0,034325782,109,3244315;3.23;4800;0;4800;72;L;2004-04-01T00:00:00;98;L;1981-08-19T00:00:00;MOBIL;Audi;;;
1293;2018/12/27 17:23 s/d 2018/12/27 17:11;FOOD;Sugeban Alianyang, Jl. Alianyang No.36, Sungai Bangkong, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78113, Indonesia;MARIANA;PONTIANAK KOTA;-0,033283,109,321995;Jl. Parit Pangeran No.81,  Siantan Hulu;PARIT MAYOR;PONTIANAK TIMUR;-0,003585573,109,3568406;7.09;9000;78000;87000;7;P;2004-08-22T00:00:00;104;P;1979-10-19T00:00:00;MOTOR;BMW;13;Sugeban Alianyang;RESTAURANT
1561;2018/12/27 17:11 s/d 2018/12/27 16:58;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708,109,336138;Jl. Nyi Ageng Serang No.26,  Tj. Hulu;DALAM BUGIS;PONTIANAK TIMUR;-0,030572153,109,3683991;6.05;8000;56000;64000;71;L;2002-03-26T00:00:00;87;L;1983-05-25T00:00:00;MOTOR;Honda;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
1359;2018/12/27 16:58 s/d 2018/12/27 16:36;FOOD;Marugame Udon & Tempura, Ayani Megamall, Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113, Indonesia;KOTA BARU;PONTIANAK SELATAN;-0,05151,109,345177;Jl. Raya Kalimas Hulu,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,083800553,109,270238;11.07;15000;25500;40500;60;P;1999-11-09T00:00:00;75;L;1985-12-28T00:00:00;MOTOR;TVS;126;Marugame Udon & Tempura, Ayani Megamall;RESTAURANT
1493;2018/12/27 16:36 s/d 2018/12/27 16:26;SHOP;Alfamart Pontianak Mall, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0301863,109,3356331;Jl. Tekam No.5,  Saigon;DALAM BUGIS;PONTIANAK TIMUR;-0,031403676,109,3660639;5.39;7000;53500;60500;3;L;1979-12-13T00:00:00;80;L;1987-03-29T00:00:00;MOTOR;TVS;421;Alfamart Pontianak Mall;TOKO/SWALAYAN
1373;2018/12/27 16:26 s/d 2018/12/27 16:11;FOOD;Es Krim Angi, Jl. Karel Satsuit Tubun, Akcaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113, Indonesia;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,0379059,109,331517;Jl. Nipah Kuning Dalam,  Pal Lima;PAL LIMA;PONTIANAK BARAT;-0,019372394,109,2841061;7.66;10000;86500;96500;23;P;1994-10-31T00:00:00;88;L;1983-11-23T00:00:00;MOTOR;Kawasaki;76;Es Krim Angi;JAJANAN
2008;2018/12/27 16:11 s/d 2018/12/27 15:31;CAR;Unnamed Road,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,056835768,109,2797035;Jl Danau Sentarum Komplek Zal Khatulistiwa No E5 Kec Sungai Bangkong Barat,  Sungai Bangkong;KOTA BARU;PONTIANAK SELATAN;-0,0549411,109,3044084;4.75;8400;0;8400;64;P;1997-12-24T00:00:00;97;L;1978-07-27T00:00:00;MOBIL;Mitsubishi;;;
1305;2018/12/27 15:31 s/d 2018/12/27 14:55;FOOD;Canopy Center, Gg. Usaha Bersama 2, Parit Tokaya, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78115, Indonesia;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,0597683,109,3229965;Jl. Sungai Bemban,  Punggur Kecil;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,109275566,109,2663304;10.37;14000;44500;58500;72;L;2004-04-01T00:00:00;93;L;1984-12-26T00:00:00;MOTOR;TVS;51;Canopy Center;RESTAURANT
1375;2018/12/27 14:55 s/d 2018/12/27 14:51;FOOD;Bakmie Raos, Jl. Dr. Wahidin. S No.52A, Sungai Jawi, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78114, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,029592,109,3047;Gg. Sa'aman No.16 B,  Darat Sekip;BANJAR SERASAN;PONTIANAK TIMUR;-0,033315966,109,3341224;5.3;6000;86000;92000;51;L;1991-07-05T00:00:00;102;P;1993-04-23T00:00:00;MOTOR;Kawasaki;214;Bakmie Raos;WARUNG MAKAN
2072;2018/12/27 14:51 s/d 2018/12/27 14:51;CAR;Gg. Kencana 1 No.30,  Sungai Bangkong;SUNGAI BANGKONG;PONTIANAK KOTA;-0,032917584,109,316838;Jl. Wonoyoso I No.17A,  Akcaya;DARAT SEKIP;PONTIANAK KOTA;-0,048303074,109,3253612;3.96;6000;0;6000;14;L;1995-03-01T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1374;2018/12/27 14:51 s/d 2018/12/27 14:18;FOOD;Coco Beans Cafe & Restaurant, Gg. Kinibalu No.54, Sungai Jawi Dalam, Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,0204787,109,3179758;Perum III,  Jl. Abdul Muis No.32;PARIT MAYOR;PONTIANAK TIMUR;-0,030864485,109,3702751;7.93;10000;47000;57000;19;L;2004-01-23T00:00:00;94;L;1981-09-21T00:00:00;MOTOR;BMW;323;Coco Beans Cafe & Restaurant;CAFE
2059;2018/12/27 14:18 s/d 2018/12/27 13:45;CAR;Jl. Raya Sungai Kakap No.18,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,048213157,109,275152;Gg. Hasan No.11,  Saigon;BANJAR SERASAN;PONTIANAK TIMUR;-0,047092921,109,3691519;12.45;25200;0;25200;25;P;1987-01-16T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1489;2018/12/27 13:45 s/d 2018/12/27 13:26;SHOP;Indomaret Siantan Hilir, Jl Gusti Situt Mahmud;SIANTAN HILIR;PONTIANAK UTARA;-0,013708,109,336138;Unnamed Road,  Mega Tim.;SIANTAN HILIR;PONTIANAK UTARA;0.0069682159027807,109,4013655;9.61;13000;97000;110000;68;L;2000-01-07T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;425;Indomaret Siantan Hilir;TOKO/SWALAYAN
1376;2018/12/27 13:26 s/d 2018/12/27 13:20;FOOD;Kuliner BPAS, Gg. Selat Makassar, Siantan Tengah, Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SIANTAN HULU;PONTIANAK UTARA;-0,0162485,109,344718;Tim., ;SAIGON;PONTIANAK TIMUR;-0,038625859,109,3703812;5.79;7000;35500;42500;10;L;1989-05-30T00:00:00;83;L;1975-11-17T00:00:00;MOTOR;Honda;62;Kuliner BPAS;JAJANAN
1324;2018/12/27 13:20 s/d 2018/12/27 12:27;FOOD;Kedai Intomie, Jl. Terminal Hijas, Benua Melayu Darat, Pontianak Sel., Kota Pontianak, Kalimantan Barat 78243, Indonesia;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,0361628,109,3433163;Gg. Perintis 1 No.50,  Akcaya;KOTA BARU;PONTIANAK SELATAN;-0,056106645,109,3245435;5.05;6000;33000;39000;39;P;1992-02-27T00:00:00;94;L;1981-09-21T00:00:00;MOTOR;BMW;88;Kedai Intomie;WARUNG MAKAN
2055;2018/12/27 12:27 s/d 2018/12/27 12:24;CAR;Jl. Parwasal,  Siantan Tengah;SIANTAN TENGAH;PONTIANAK UTARA;-0,005552902,109,3477782;Jl. Nyi Ageng Serang Gg. Tengkawang 4 No.a 2,  Tj. Hulu;TANJUNG HULU;PONTIANAK TIMUR;-0,032292903,109,368239;5.74;10800;0;10800;60;P;1999-11-09T00:00:00;97;L;1978-07-27T00:00:00;MOBIL;Mitsubishi;;;
1135;2018/12/27 12:24 s/d 2018/12/27 12:16;FOOD;Geprek Bensu Pontianak, Jalan Sungai Raya Dalam no A1;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,0263303,109,3425039;Jl. Raya Sungai Kakap,  Pal IX;BANSIR DARAT;PONTIANAK TENGGARA;-0,067749121,109,2466539;13.61;19000;82000;101000;74;P;2001-11-28T00:00:00;89;L;1987-02-12T00:00:00;MOTOR;Suzuki;338;Geprek Bensu Pontianak;WARUNG MAKAN
1516;2018/12/27 12:16 s/d 2018/12/27 11:46;SHOP;Indomaret Komyos Sudarso, Jl Komyos Sudarso;SUNGAI BELIUNG;PONTIANAK BARAT;-0,005413,109,304494;Blok C,  Kota Baru;KOTA BARU;PONTIANAK SELATAN;-0,059496515,109,3206224;8.28;11000;55500;66500;7;P;2004-08-22T00:00:00;105;P;1989-03-18T00:00:00;MOTOR;Kawasaki;419;Indomaret Komyos Sudarso;TOKO/SWALAYAN
